Word,Count
the,2380
a,2022
be,1310
form,1117
in,1059
to,896
*,775
{@link,736
or,732
,728
value,642
<p>This,642
(in,548
reference,535
theme,535
<p>Must,535
attribute,535
is,499
can,416
of,381
found,377
array,372
where,370
offset,368
attribute's,368
@attr,368
symbol,368
<tr><td><code>{@link,368
name,368
@see,368
\value,\,304
resource,283
this,280
type,276
may,274
also,274
containing,274
\"\<code>@[<i>package</i>:]<i>type</i>:<i>name</i></code>"\)\,274
\"\<code>?[<i>package</i>:][<i>type</i>:]<i>name</i></code>"\)\,274
\resource,\,261
another,261
\"\<code>?[<i>package</i>:][<i>type</i>:]<i>name</i></code>"\\,261
\"\<code>@[+][<i>package</i>:]<i>type</i>:<i>name</i></code>"\\,261
/>,214
\align="\left"\\,214
<colgroup,214
as,195
such,195
with,169
on,126
point,125
floating,125
number,123
which,123
appended,123
#AppCompatTheme},112
unit,112
\(inches),\,111
\(pixels),\,111
(millimeters),111
Available,111
sp,111
\"\<code>14.5sp</code>"\\,111
dp,111
px,111
preferred,111
dimension,111
based,111
mm,111
(density-independent,111
font,111
\pixels),\,111
pixels,111
(scaled,111
\size),\,111
are:,111
units,111
</table>,86
<table>,86
following,86
for,80
either,74
<p>May,72
string,68
characters,68
unicode,68
'\\n',68
escape,68
'\\;',68
character,68
'\\uxxxx',68
using,68
\"\<code>true</code>"\\,62
\"\<code>false</code>"\\,62
boolean,62
that,48
\"\<code>#<i>rrggbb</i></code>"\,\,47
\"\<code>#<i>argb</i></code>"\,\,47
color,47
\"\<code>#<i>rgb</i></code>"\,\,47
\"\<code>#<i>aarrggbb</i></code>"\\,47
used,46
Attributes,46
<tr><th>Attribute</th><th>Description</th></tr>,44
attributes:</p>,44
<p>Includes,44
<tr><th>Constant</th><th>Value</th><th>Description</th></tr>,42
constant,42
one,42
values.</p>,42
by,39
#ActionBar},27
#Toolbar},25
%,24
suffix,24
#MenuItem},17
=,17
#SearchView},17
},15
intent,14
Created,14
This,13
was,13
#CardView},13
means,12
\"\<code>14.5%</code>"\\,12
size;,12
always,12
parent,12
size,12
percentage,12
fractional,12
more,12
container,12
base,12
%p,12
relative,12
\%p,\,12
provides,12
some,12
The,12
optional,12
data,12
DO,11
generated,11
NOT,11
MODIFY,11
#SwitchCompat},10
from,10
TODO:,10
it,9
Usuário,9
modified,9
#LinearLayoutCompat},9
#TextAppearance},9
should,9
FILE,9
AUTO-GENERATED,9
It,9
automatically,9
class,9
aapt,9
hand,9
tool,9
not,9
#DrawerArrowToggle},8
#MenuView},8
{,8
auto-generated,8
#Section},7
list,7
#Corpus},7
#IMECorpus},6
signed,6
<tr><td><code>none</code></td><td>0</td><td></td></tr>,6
If,6
#GlobalSearch},6
#com_facebook_like_view},6
'|'),6
==,6
into,6
#ActionMode},6
#AlertDialog},6
textview.animateText(text_resources[position]);,6
#ShadowLayout},6
(separated,6
user,6
See,6
#MenuGroup},6
if(position,5
#View},5
public,5
void,5
#Spinner},5
<tr><td><code>src_atop</code></td><td>9</td><td></td></tr>,4
//textview.setText(text_resources[position]);,4
else,4
add,4
i,4
listener,4
User,4
ATTENTION:,4
(ImageView),4
<tr><td><code>standard</code></td><td>0</td><td></td></tr>,4
URL,4
result,4
web,4
#LinearLayoutCompat_Layout},4
<tr><td><code>screen</code></td><td>15</td><td></td></tr>,4
<tr><td><code>src_in</code></td><td>5</td><td></td></tr>,4
will,4
an,4
and,4
loadFetishList();,4
\permissions,\,4
implement,4
information,4
content,4
String[],4
handle,4
page,4
Indexing,4
app,4
<tr><td><code>src_over</code></td><td>3</td><td></td></tr>,4
ActivityCompat#requestPermissions,4
#com_facebook_login_view},4
<tr><td><code>multiply</code></td><td>14</td><td></td></tr>,4
sign,4
https://g.co/AppIndexing/AndroidStudio,4
ImageView,4
sure,4
App,4
API,4
correct,4
