File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\AndroidProjects\Feat\app\build\generated\source\buildConfig\androidTest\debug\pit\feat\test\BuildConfig.java,14,9,8,0,2,0,3,9,3,9
C:\AndroidProjects\Feat\app\build\generated\source\buildConfig\debug\pit\feat\BuildConfig.java,14,9,8,0,2,0,3,9,3,9
C:\AndroidProjects\Feat\app\build\generated\source\r\debug\android\support\v7\appcompat\R.java,1282,1274,1290,0,2,0,6,32,6,32
C:\AndroidProjects\Feat\app\build\generated\source\r\debug\android\support\v7\cardview\R.java,57,49,44,0,2,0,6,32,6,32
C:\AndroidProjects\Feat\app\build\generated\source\r\debug\com\dd\shadow\layout\R.java,36,28,24,0,2,0,6,32,6,32
C:\AndroidProjects\Feat\app\build\generated\source\r\debug\com\facebook\R.java,250,242,236,0,2,0,6,32,6,32
C:\AndroidProjects\Feat\app\build\generated\source\r\debug\com\google\android\gms\R.java,1361,1353,1376,0,2,0,6,32,6,32
C:\AndroidProjects\Feat\app\build\generated\source\r\debug\com\google\firebase\firebase_core\R.java,11,3,2,0,2,0,6,32,6,32
C:\AndroidProjects\Feat\app\build\generated\source\r\debug\com\hanks\htextview\R.java,1217,1209,1224,0,2,0,6,32,6,32
C:\AndroidProjects\Feat\app\build\generated\source\r\debug\pit\feat\Manifest.java,15,6,4,0,3,0,6,32,6,32
C:\AndroidProjects\Feat\app\build\generated\source\r\debug\pit\feat\R.java,8876,2108,1981,0,5,0,6763,32960,6,32
C:\AndroidProjects\Feat\app\src\androidTest\java\pit\feat\ApplicationTest.java,13,8,6,0,2,0,3,6,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit\feat\MainActivity.java,366,237,178,7,96,4,33,224,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit\feat\MyApplication.java,50,31,25,1,16,0,3,8,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit\feat\OpeningActivity.java,115,72,59,1,36,0,7,7,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit\feat\TypewriterView.java,214,149,112,16,58,0,7,24,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit\feat\User.java,51,27,20,3,21,0,3,8,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit\feat\viewPagerTextAdapter.java,175,69,58,4,37,0,69,110,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit\feat\WelcomeScreen.java,162,67,57,1,31,0,64,86,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit\feat\insideApp\MainUserView.java,217,126,94,6,75,0,16,83,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit\feat\loginEmailPassword\FirstTimeLoginEmailPassword.java,21,11,8,0,10,0,0,0,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit\feat\loginEmailPassword\SignUpEmailPassword.java,116,79,62,3,32,0,5,43,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit\feat\loginFacebook\FirstTimeLoginFacebook.java,236,137,117,2,83,0,16,22,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit\feat\menus\Main_menu.java,202,136,119,5,54,0,12,15,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit\feat\models\User_model.java,81,56,40,6,22,0,3,8,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit\feat\signUp\ChooseMyFetish.java,293,191,146,12,95,3,7,24,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit\feat\signUp\ChooseOthersFetish.java,283,185,140,12,91,3,7,24,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit\feat\utility\CryptoUtils.java,48,34,24,5,11,0,3,8,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit\feat\utility\ExpandListAdapter.java,249,161,122,18,64,1,24,114,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit\feat\utility\ExpandListChild.java,23,17,12,2,3,0,3,8,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit\feat\utility\ExpandListGroup.java,27,18,13,2,6,0,3,8,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit\feat\utility\FirebaseTest.java,87,60,53,0,27,0,0,0,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit\feat\utility\MutableForegroundColorSpan.java,30,19,13,1,8,0,3,8,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit\feat\utility\SecretTextView.java,133,107,83,7,23,0,3,8,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit\feat\utility\TotalListener.java,12,5,4,0,4,0,3,8,0,0
C:\AndroidProjects\Feat\app\src\test\java\pit\feat\ExampleUnitTest.java,15,9,6,0,3,0,3,17,0,0
